Name,Verein,Position,Einsatz,SpielMinuten,PassCompleted,TotalPass
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26.0,1831.0,316.0,441.0
Matheus Pereira,1. FC Nürnberg,Rechte Außenbahn,19.0,1311.0,343.0,479.0
Robert Bauer,1. FC Nürnberg,Rechtsverteidiger,22.0,1816.0,584.0,819.0
Yuya Osako,SV Werder Bremen,Stürmer,21.0,1435.0,360.0,505.0
Michael Gregoritsch,FC Augsburg,Offensives Mittelfeld,32.0,2633.0,655.0,924.0
Alassane Plea,B. Mönchengladbach,Stürmer,34.0,2640.0,448.0,632.0
Vedad Ibisevic,Hertha BSC,Stürmer,28.0,1878.0,308.0,435.0
Konrad Laimer,RB Leipzig,Zentrales Mittelfeld,29.0,1972.0,578.0,817.0
Daniel Didavi,VfB Stuttgart,Offensives Mittelfeld,20.0,1027.0,326.0,461.0
Yuya Kubo,1. FC Nürnberg,Stürmer,22.0,1430.0,290.0,411.0
Julian Korb,Hannover 96,Rechtsverteidiger,12.0,1070.0,383.0,543.0
Andreas Beck,VfB Stuttgart,Rechtsverteidiger,24.0,1872.0,602.0,854.0
Daniel Brosinski,1. FSV Mainz 05,Rechtsverteidiger,26.0,2343.0,946.0,1343.0
Ishak Belfodil,TSG 1899 Hoffenheim,Stürmer,28.0,1982.0,323.0,459.0
Thorgan Hazard,B. Mönchengladbach,Rechte Außenbahn,33.0,3035.0,973.0,1383.0
Christian Gentner,VfB Stuttgart,Zentrales Mittelfeld,29.0,2122.0,714.0,1015.0
Kenan Karaman,Fortuna Düsseldorf,Linke Außenbahn,21.0,1007.0,197.0,281.0
Johannes Eggestein,SV Werder Bremen,Stürmer,23.0,1194.0,231.0,330.0
Mijat Gacinovic,Eintracht Frankfurt,Offensives Mittelfeld,29.0,1760.0,429.0,613.0
Wout Weghorst,VfL Wolfsburg,Stürmer,34.0,3098.0,569.0,819.0
Elvis Rexhbecaj,VfL Wolfsburg,Defensives Mittelfeld,24.0,1225.0,289.0,416.0
Jean Zimmer,Fortuna Düsseldorf,Rechtsverteidiger,18.0,1505.0,416.0,601.0
Luka Jovic,Eintracht Frankfurt,Stürmer,32.0,2382.0,426.0,616.0
Mikael Ishak,1. FC Nürnberg,Stürmer,29.0,2030.0,291.0,421.0
Niclas Füllkrug,Hannover 96,Stürmer,14.0,1195.0,268.0,388.0
Nicolai Müller,Hannover 96,Rechte Außenbahn,21.0,1185.0,218.0,317.0
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,1872.0,488.0,710.0
Marcel Sabitzer,RB Leipzig,Rechte Außenbahn,30.0,2492.0,836.0,1218.0
Lukas Kübler,SC Freiburg,Rechtsverteidiger,16.0,1264.0,381.0,556.0
Jérôme Gondorf,SC Freiburg,Zentrales Mittelfeld,25.0,1404.0,350.0,513.0
Virgil Misidjan,1. FC Nürnberg,Rechte Außenbahn,23.0,1624.0,270.0,396.0
Alfred Finnbogason,FC Augsburg,Stürmer,18.0,1375.0,222.0,326.0
Karim Bellarabi,Bayer 04 Leverkusen,Rechte Außenbahn,19.0,1131.0,335.0,492.0
Josip Brekalo,VfL Wolfsburg,Linke Außenbahn,25.0,1515.0,424.0,623.0
Hanno Behrens,1. FC Nürnberg,Zentrales Mittelfeld,30.0,2795.0,617.0,912.0
Jean-Philippe Mateta,1. FSV Mainz 05,Stürmer,34.0,2617.0,322.0,476.0
Philipp Max,FC Augsburg,Linksverteidiger,30.0,2732.0,841.0,1244.0
Mathew Leckie,Hertha BSC,Rechte Außenbahn,18.0,1017.0,237.0,351.0
Nils Petersen,SC Freiburg,Stürmer,24.0,2087.0,345.0,514.0
Daniel Caligiuri,FC Schalke 04,Rechtsverteidiger,31.0,2948.0,1098.0,1638.0
Benito Raman,Fortuna Düsseldorf,Rechte Außenbahn,30.0,1792.0,307.0,459.0
Marco Richter,FC Augsburg,Stürmer,25.0,1510.0,316.0,474.0
Ihlas Bebou,Hannover 96,Rechte Außenbahn,12.0,1137.0,292.0,438.0
Lucas Höler,SC Freiburg,Stürmer,26.0,1083.0,172.0,261.0
Mario Gomez,VfB Stuttgart,Stürmer,31.0,2344.0,323.0,492.0
Leon Bailey,Bayer 04 Leverkusen,Linke Außenbahn,29.0,2018.0,621.0,948.0
Rouwen Hennings,Fortuna Düsseldorf,Stürmer,29.0,1956.0,294.0,450.0
Alexander Esswein,VfB Stuttgart,Rechte Außenbahn,17.0,1303.0,295.0,452.0
Enrico Valentini,1. FC Nürnberg,Rechtsverteidiger,15.0,1373.0,499.0,770.0
Sebastian Kerk,1. FC Nürnberg,Linke Außenbahn,21.0,1246.0,309.0,483.0
Breel Embolo,FC Schalke 04,Stürmer,20.0,1411.0,166.0,261.0
Danny da Costa,Eintracht Frankfurt,Rechtsverteidiger,34.0,3253.0,847.0,1339.0
Sébastien Haller,Eintracht Frankfurt,Stürmer,29.0,2353.0,501.0,793.0
Guido Burgstaller,FC Schalke 04,Stürmer,24.0,1643.0,188.0,306.0
Yussuf Poulsen,RB Leipzig,Stürmer,31.0,2595.0,477.0,790.0
Karim Onisiwo,1. FSV Mainz 05,Rechte Außenbahn,26.0,1236.0,151.0,252.0
Nicolás González,VfB Stuttgart,Stürmer,30.0,2288.0,370.0,618.0
Filip Kostic,Eintracht Frankfurt,Linke Außenbahn,34.0,3158.0,943.0,1581.0
Milot Rashica,SV Werder Bremen,Stürmer,26.0,1631.0,301.0,509.0
Oliver Fink,Fortuna Düsseldorf,Zentrales Mittelfeld,18.0,1118.0,232.0,397.0
Daniel Ginczek,VfL Wolfsburg,Stürmer,24.0,1373.0,203.0,349.0
Davie Selke,Hertha BSC,Stürmer,30.0,1869.0,276.0,475.0
Hendrik Weydandt,Hannover 96,Stürmer,28.0,1847.0,251.0,443.0
Ante Rebic,Eintracht Frankfurt,Stürmer,28.0,2098.0,293.0,543.0
André Hahn,FC Augsburg,Rechte Außenbahn,28.0,2207.0,301.0,559.0
