Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore,Nationalitaet,SpielMinuten,ShotOnTarget,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,Balleroberungen,BallVerluste,Fouls,CleanSheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor,FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles,TorschussVorlagen,GewonneneZweikaempfe,GesamteZweikaempfe,Value
Claudio Pizarro,SV Werder Bremen,Mittelstürmer,26.0,40.0,2.0,0.0,5.0,Peru & Italien,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anastasios Donis,VfB Stuttgart,Mittelstürmer,24.0,22.0,2.0,0.0,5.0,Griechenland & England,1017.0,10.0,NULL,NULL,NULL,NULL,13.0,32.0,21.0,NULL,17.0,35.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.0,46.0,NULL,NULL,NULL,30.0,13.0,21.0,6.0,55.0,146.0,4.0
Steven Zuber,Spiel für mehrere Vereine,Linkes Mittelfeld,22.0,27.0,2.0,1.0,5.0,Schweiz,1706.0,13.0,11.0,NULL,NULL,NULL,12.0,52.0,22.0,NULL,9.0,25.0,NULL,NULL,NULL,NULL,3.0,NULL,NULL,16.0,42.0,NULL,521.0,711.0,48.0,12.0,36.0,17.0,66.0,179.0,7.0
Renato Steffen,VfL Wolfsburg,Rechtsaußen,31.0,27.0,1.0,0.0,5.0,Schweiz,1592.0,8.0,16.0,NULL,NULL,NULL,16.0,28.0,19.0,NULL,20.0,31.0,NULL,NULL,NULL,13.0,3.0,NULL,NULL,19.0,46.0,NULL,431.0,577.0,27.0,16.0,34.0,14.0,92.0,172.0,5.0
Lukas Klostermann,RasenBallsport Leipzig,Rechter Verteidiger,26.0,22.0,1.0,0.0,5.0,Deutschland,2141.0,6.0,29.0,NULL,NULL,NULL,29.0,18.0,17.0,NULL,7.0,17.0,NULL,NULL,NULL,62.0,NULL,NULL,NULL,43.0,70.0,NULL,753.0,1019.0,13.0,29.0,66.0,18.0,111.0,189.0,30.0
Marko Grujic,Hertha BSC,Zentrales Mittelfeld,22.0,23.0,1.0,0.0,5.0,Serbien,1907.0,20.0,29.0,NULL,NULL,NULL,33.0,40.0,44.0,NULL,29.0,49.0,NULL,NULL,NULL,50.0,NULL,NULL,NULL,69.0,105.0,NULL,776.0,956.0,46.0,33.0,70.0,16.0,165.0,308.0,20.0
Nicolai Müller,Spiel für mehrere Vereine,Rechtsaußen,21.0,31.0,0.0,0.0,5.0,Deutschland,1185.0,10.0,NULL,NULL,NULL,NULL,11.0,37.0,17.0,NULL,18.0,31.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.0,27.0,NULL,218.0,317.0,23.0,11.0,41.0,12.0,58.0,150.0,NULL
Kerem Demirbay,TSG 1899 Hoffenheim,Zentrales Mittelfeld,26.0,25.0,9.0,0.0,4.0,Deutschland & Türkei,2132.0,17.0,24.0,NULL,NULL,NULL,36.0,75.0,46.0,NULL,57.0,80.0,NULL,NULL,NULL,21.0,14.0,NULL,NULL,15.0,38.0,NULL,1096.0,1417.0,58.0,36.0,95.0,76.0,162.0,344.0,32.0
Jean-Paul Boëtius,1.FSV Mainz 05,Offensives Mittelfeld,30.0,25.0,8.0,0.0,4.0,Niederlande & Suriname,2257.0,13.0,35.0,NULL,NULL,NULL,32.0,66.0,52.0,NULL,30.0,56.0,NULL,NULL,NULL,11.0,9.0,NULL,NULL,23.0,55.0,NULL,648.0,859.0,46.0,32.0,76.0,29.0,150.0,322.0,6.0
Emil Forsberg,RasenBallsport Leipzig,Linksaußen,20.0,27.0,8.0,3.0,4.0,Schweden,1305.0,14.0,NULL,NULL,NULL,NULL,7.0,46.0,7.0,NULL,21.0,45.0,NULL,NULL,NULL,NULL,6.0,NULL,NULL,8.0,18.0,NULL,405.0,529.0,30.0,7.0,23.0,38.0,65.0,139.0,25.0
Marco Richter,FC Augsburg,Linksaußen,25.0,21.0,6.0,0.0,4.0,Deutschland,1510.0,23.0,13.0,NULL,NULL,NULL,8.0,84.0,22.0,NULL,33.0,75.0,1.0,NULL,NULL,NULL,6.0,NULL,NULL,20.0,64.0,NULL,316.0,474.0,55.0,8.0,23.0,17.0,91.0,250.0,7.0
