Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,ShotOnTarget,Balleroberungen,BallVerluste,Fouls,Clean Sheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor),FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Alter,Vorlagen,Elfmetertor,Tore,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles
Julian Baumgartlinger,Bayer 04 Leverkusen,Defensives Mittelfeld,21.0,1667.0,25.0,,,,,30.0,24.0,19.0,,15.0,23.0,1.0,,,20.0,,,,26.0,50.0,,,,,,1233.0,1378.0,,30.0,77.0
Achraf Hakimi,Borussia Dortmund,Rechtsverteidiger,21.0,1871.0,28.0,,,,,19.0,56.0,14.0,,39.0,67.0,2.0,,,39.0,4.0,,,14.0,32.0,20.0,4.0,0.0,2.0,,1340.0,1574.0,20.0,19.0,53.0
Kevin Kampl,RB Leipzig,Zentrales Mittelfeld,27.0,2212.0,33.0,,,,,24.0,34.0,30.0,,24.0,32.0,,,,20.0,7.0,,,17.0,30.0,28.0,6.0,0.0,2.0,,1240.0,1508.0,34.0,24.0,60.0
Marcel Halstenberg,RB Leipzig,Linksverteidiger,28.0,2556.0,38.0,,,,,43.0,40.0,24.0,,29.0,44.0,,,,53.0,14.0,,,70.0,106.0,27.0,6.0,2.0,3.0,,1153.0,1590.0,23.0,43.0,90.0
Niklas Süle,FC Bayern München,Innenverteidiger,31.0,2831.0,42.0,,,,,23.0,,17.0,,,,,,,82.0,,,,80.0,104.0,23.0,0.0,0.0,2.0,,2385.0,2566.0,20.0,23.0,35.0
Janik Haberer,SC Freiburg,Offensives Mittelfeld,27.0,2497.0,37.0,,,,,47.0,58.0,46.0,,22.0,38.0,,,,49.0,4.0,,,52.0,106.0,25.0,4.0,0.0,1.0,,841.0,1074.0,26.0,47.0,109.0
Jonathan Tah,Bayer 04 Leverkusen,Innenverteidiger,33.0,3130.0,46.0,,,,,30.0,15.0,16.0,,17.0,20.0,1.0,,,137.0,,,,76.0,109.0,23.0,1.0,0.0,3.0,,2237.0,2493.0,12.0,30.0,58.0
Makoto Hasebe,Eintracht Frankfurt,Innenverteidiger,28.0,2697.0,39.0,,,,,34.0,,17.0,,,,3.0,,,97.0,,,,32.0,71.0,,,,,,1242.0,1459.0,,34.0,69.0
Emiliano Insúa,VfB Stuttgart,Linksverteidiger,27.0,2219.0,32.0,,,,,35.0,45.0,18.0,,34.0,60.0,1.0,,,45.0,6.0,,,22.0,51.0,30.0,2.0,0.0,2.0,,991.0,1347.0,8.0,35.0,68.0
Matija Nastasic,FC Schalke 04,Innenverteidiger,28.0,2636.0,38.0,,,,,24.0,,17.0,,,,1.0,,,113.0,,,,64.0,99.0,26.0,0.0,0.0,1.0,,1020.0,1240.0,21.0,24.0,47.0
John Anthony Brooks,VfL Wolfsburg,Innenverteidiger,29.0,2798.0,40.0,,,,,15.0,12.0,14.0,,,,1.0,,,131.0,,,,74.0,102.0,26.0,3.0,0.0,3.0,,1490.0,1738.0,19.0,15.0,44.0
Robin Koch,SC Freiburg,Innenverteidiger,24.0,2048.0,29.0,,,,,14.0,17.0,20.0,,6.0,9.0,3.0,,,75.0,,,,65.0,113.0,22.0,0.0,0.0,1.0,,727.0,889.0,11.0,14.0,41.0
