Name,Verein,Position,Einsatz,SpielMinuten,Balleroberungen
Nordi Mukiele,RB Leipzig,Rechtsverteidiger,19.0,1300.0,3.0
Alexander Esswein,VfB Stuttgart,Rechte Außenbahn,17.0,1303.0,3.0
Kai Havertz,Bayer 04 Leverkusen,Offensives Mittelfeld,34.0,3075.0,7.0
Jean-Paul Boëtius,1. FSV Mainz 05,Linke Außenbahn,30.0,2257.0,5.0
Vedad Ibisevic,Hertha BSC,Stürmer,28.0,1878.0,4.0
Charles Aránguiz,Bayer 04 Leverkusen,Zentrales Mittelfeld,24.0,1994.0,4.0
Mark Uth,FC Schalke 04,Stürmer,20.0,1507.0,3.0
Thorgan Hazard,B. Mönchengladbach,Rechte Außenbahn,33.0,3035.0,6.0
Nuri Sahin,SV Werder Bremen,Defensives Mittelfeld,20.0,1545.0,3.0
Timo Werner,RB Leipzig,Stürmer,30.0,2605.0,5.0
Lars Stindl,B. Mönchengladbach,Stürmer,21.0,1585.0,3.0
Diego Demme,RB Leipzig,Defensives Mittelfeld,26.0,2155.0,4.0
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30.0,2158.0,4.0
Florian Neuhaus,B. Mönchengladbach,Zentrales Mittelfeld,32.0,2164.0,4.0
Raphaël Guerreiro,Borussia Dortmund,Linksverteidiger,23.0,1633.0,3.0
Kevin Kampl,RB Leipzig,Zentrales Mittelfeld,27.0,2212.0,4.0
Julian Brandt,Bayer 04 Leverkusen,Linke Außenbahn,33.0,2823.0,5.0
Joelinton,TSG 1899 Hoffenheim,Stürmer,28.0,2268.0,4.0
Mijat Gacinovic,Eintracht Frankfurt,Offensives Mittelfeld,29.0,1760.0,3.0
Admir Mehmedi,VfL Wolfsburg,Stürmer,26.0,1786.0,3.0
Jérôme Boateng,FC Bayern München,Innenverteidiger,20.0,1798.0,3.0
Salomon Kalou,Hertha BSC,Linke Außenbahn,30.0,2429.0,4.0
Vincenzo Grifo,SC Freiburg,Linke Außenbahn,23.0,1868.0,3.0
