Name Verein Position Einsatz SpielMinuten "Geklaerte Baelle"
"Joshua Kimmich" "FC Bayern München" Rechtsverteidiger 34 3247 33
"Genki Haraguchi" "Hannover 96" "Linke Außenbahn" 28 2285 23
"Alexander Esswein" "VfB Stuttgart" "Rechte Außenbahn" 17 1303 13
"Kerem Demirbay" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 26 2132 21
"Sébastien Haller" "Eintracht Frankfurt" Stürmer 29 2353 23
"Rouwen Hennings" "Fortuna Düsseldorf" Stürmer 29 1956 19
"Florian Neuhaus" "B. Mönchengladbach" "Zentrales Mittelfeld" 32 2164 21
"Konrad Laimer" "RB Leipzig" "Zentrales Mittelfeld" 29 1972 19
"Patrick Herrmann" "B. Mönchengladbach" "Rechte Außenbahn" 24 1184 11
"Salomon Kalou" "Hertha BSC" "Linke Außenbahn" 30 2429 22
"Kevin Kampl" "RB Leipzig" "Zentrales Mittelfeld" 27 2212 20
"Sebastian Rudy" "FC Schalke 04" "Defensives Mittelfeld" 21 1455 13
"Jacob Bruun Larsen" "Borussia Dortmund" "Linke Außenbahn" 24 1350 12
"Nabil Bentaleb" "FC Schalke 04" "Defensives Mittelfeld" 25 1935 17
"Lucas Alario" "Bayer 04 Leverkusen" Stürmer 27 1375 12
"Denis Zakaria" "B. Mönchengladbach" "Defensives Mittelfeld" 31 2088 18
"Javier Martínez" "FC Bayern München" "Defensives Mittelfeld" 21 1393 12
"Kai Havertz" "Bayer 04 Leverkusen" "Offensives Mittelfeld" 34 3075 26
"Jean-Philippe Mateta" "1. FSV Mainz 05" Stürmer 34 2617 22
"Dodi Lukebakio" "Fortuna Düsseldorf" "Rechte Außenbahn" 31 2077 17
"Renato Steffen" "VfL Wolfsburg" "Rechte Außenbahn" 31 1592 13
"Vincenzo Grifo" "SC Freiburg" "Linke Außenbahn" 23 1868 15
"Kevin Stöger" "Fortuna Düsseldorf" "Offensives Mittelfeld" 25 2255 18
"Lars Stindl" "B. Mönchengladbach" Stürmer 21 1585 12
"Diego Demme" "RB Leipzig" "Defensives Mittelfeld" 26 2155 16
"Mark Uth" "FC Schalke 04" Stürmer 20 1507 11
"Jonathan de Guzmán" "Eintracht Frankfurt" "Zentrales Mittelfeld" 28 1678 12
Thiago "FC Bayern München" "Zentrales Mittelfeld" 30 2544 18
"Gelson Fernandes" "Eintracht Frankfurt" "Defensives Mittelfeld" 28 2348 16
"Ishak Belfodil" "TSG 1899 Hoffenheim" Stürmer 28 1982 13
"Leon Goretzka" "FC Bayern München" "Zentrales Mittelfeld" 30 2158 14
"Jonas Hofmann" "B. Mönchengladbach" "Zentrales Mittelfeld" 27 2019 13
"Alassane Plea" "B. Mönchengladbach" Stürmer 34 2640 15
"Mikael Ishak" "1. FC Nürnberg" Stürmer 29 2030 11
"Thomas Müller" "FC Bayern München" "Rechte Außenbahn" 32 2483 13
"Jean-Paul Boëtius" "1. FSV Mainz 05" "Linke Außenbahn" 30 2257 11
"Ondrej Duda" "Hertha BSC" "Offensives Mittelfeld" 32 2687 13
"Andrej Kramaric" "TSG 1899 Hoffenheim" Stürmer 30 2548 12
"Robert Lewandowski" "FC Bayern München" Stürmer 33 3129 14
