Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter
Matthias Ginter,B. Mönchengladbach,Innenverteidiger,27.0,2522.0,19.0,,
Jonas Hofmann,B. Mönchengladbach,Zentrales Mittelfeld,27.0,2019.0,15.0,,
Filip Kostic,Eintracht Frankfurt,Linke Außenbahn,34.0,3158.0,23.0,,
Oscar Wendt,B. Mönchengladbach,Linksverteidiger,32.0,2908.0,21.0,,
Yuya Kubo,1. FC Nürnberg,Stürmer,22.0,1430.0,10.0,,
Nils Petersen,SC Freiburg,Stürmer,24.0,2087.0,14.0,,
Jonathan de Guzmán,Eintracht Frankfurt,Zentrales Mittelfeld,28.0,1678.0,11.0,,
Karim Onisiwo,1. FSV Mainz 05,Rechte Außenbahn,26.0,1236.0,8.0,,
Steven Zuber,VfB Stuttgart,Linke Außenbahn,22.0,1706.0,11.0,,
Joelinton,TSG 1899 Hoffenheim,Stürmer,28.0,2268.0,14.0,,
Franck Ribéry,FC Bayern München,Linke Außenbahn,25.0,1308.0,8.0,,
Michael Gregoritsch,FC Augsburg,Offensives Mittelfeld,32.0,2633.0,16.0,,
Serge Gnabry,FC Bayern München,Linke Außenbahn,30.0,1887.0,11.0,,
Eduard Löwen,1. FC Nürnberg,Zentrales Mittelfeld,22.0,1717.0,10.0,,
Jadon Sancho,Borussia Dortmund,Linke Außenbahn,34.0,2644.0,15.0,,
Julian Brandt,Bayer 04 Leverkusen,Linke Außenbahn,33.0,2823.0,16.0,,
Ondrej Duda,Hertha BSC,Offensives Mittelfeld,32.0,2687.0,15.0,,
Virgil Misidjan,1. FC Nürnberg,Rechte Außenbahn,23.0,1624.0,9.0,,
Mark Uth,FC Schalke 04,Stürmer,20.0,1507.0,8.0,,
Nicolás González,VfB Stuttgart,Stürmer,30.0,2288.0,12.0,,
Kai Havertz,Bayer 04 Leverkusen,Offensives Mittelfeld,34.0,3075.0,16.0,,
Sébastien Haller,Eintracht Frankfurt,Stürmer,29.0,2353.0,12.0,,
Yuya Osako,SV Werder Bremen,Stürmer,21.0,1435.0,7.0,,
Florian Neuhaus,B. Mönchengladbach,Zentrales Mittelfeld,32.0,2164.0,10.0,,
Christian Günter,SC Freiburg,Linksverteidiger,32.0,3082.0,14.0,,
Mario Götze,Borussia Dortmund,Offensives Mittelfeld,26.0,1781.0,8.0,,
Ante Rebic,Eintracht Frankfurt,Stürmer,28.0,2098.0,9.0,,
Thomas Müller,FC Bayern München,Rechte Außenbahn,32.0,2483.0,10.0,,
Dodi Lukebakio,Fortuna Düsseldorf,Rechte Außenbahn,31.0,2077.0,8.0,,
Andrej Kramaric,TSG 1899 Hoffenheim,Stürmer,30.0,2548.0,9.0,,
Marvin Plattenhardt,Hertha BSC,Linksverteidiger,22.0,2040.0,7.0,,
Marco Reus,Borussia Dortmund,Offensives Mittelfeld,27.0,2463.0,8.0,,
Robin Quaison,1. FSV Mainz 05,Stürmer,28.0,2323.0,7.0,,
Yussuf Poulsen,RB Leipzig,Stürmer,31.0,2595.0,7.0,,
Max Kruse,SV Werder Bremen,Stürmer,32.0,3018.0,8.0,,
Wout Weghorst,VfL Wolfsburg,Stürmer,34.0,3098.0,8.0,,
Kevin Volland,Bayer 04 Leverkusen,Stürmer,34.0,2983.0,7.0,,
Ramazan Özcan,Bayer 04 Leverkusen,Torhüter,2.0,193.0,,1.0,2.0
Fabian Bredlow,1. FC Nürnberg,Torhüter,13.0,1194.0,,1.0,2.0
Gregor Kobel,FC Augsburg,Torhüter,17.0,1565.0,,1.0,3.0
Alexander Nübel,FC Schalke 04,Torhüter,18.0,1696.0,,1.0,4.0
Rune Jarstein,Hertha BSC,Torhüter,31.0,2924.0,,1.0,4.0
Lukás Hrádecky,Bayer 04 Leverkusen,Torhüter,32.0,3076.0,,1.0,4.0
Koen Casteels,VfL Wolfsburg,Torhüter,26.0,2462.0,,1.0,5.0
Michael Esser,Hannover 96,Torhüter,32.0,3084.0,,1.0,6.0
Luca Plogmann,SV Werder Bremen,Torhüter,1.0,47.0,,0.0,1.0
Yvon Mvogo,RB Leipzig,Torhüter,2.0,148.0,,0.0,1.0
Marwin Hitz,Borussia Dortmund,Torhüter,2.0,200.0,,0.0,1.0
Pavao Pervan,VfL Wolfsburg,Torhüter,9.0,811.0,,0.0,1.0
Kevin Trapp,Eintracht Frankfurt,Torhüter,33.0,3149.0,,0.0,1.0
Thomas Kraft,Hertha BSC,Torhüter,4.0,339.0,,0.0,2.0
Ralf Fährmann,FC Schalke 04,Torhüter,17.0,1596.0,,0.0,2.0
